1: systemd: 0.0%, 11091968B, disk_io = [283740, 82821, 312621056, 110854144, 313577073, 141728385]
961: dconf-service: 0.0%, 5771264B, disk_io = [163, 206, 90112, 4096, 18227, 3546]
964: xcape: 0.0%, 2015232B, disk_io = [0, 5, 0, 0, 0, 152]
973: colord: 0.0%, 13299712B, disk_io = [4484, 847, 18989056, 0, 954301, 6699]
1014: obexd: 0.0%, 6955008B, disk_io = [41, 14, 2428928, 0, 25701, 119]
1016: gvfs-udisks2-volume-monitor: 0.0%, 12234752B, disk_io = [434, 301, 1241088, 0, 132583, 2430]
1019: udisksd: 0.0%, 14761984B, disk_io = [513, 114, 3330048, 0, 349568, 9729]
1033: gvfs-mtp-volume-monitor: 0.0%, 6672384B, disk_io = [194, 182, 114688, 0, 30711, 1481]
1037: gvfs-goa-volume-monitor: 0.0%, 6504448B, disk_io = [145, 197, 438272, 0, 19897, 1601]
1041: gvfs-gphoto2-volume-monitor: 0.0%, 8941568B, disk_io = [198, 182, 634880, 0, 34039, 1485]
1045: gvfs-afc-volume-monitor: 0.0%, 7843840B, disk_io = [142, 181, 110592, 0, 23169, 1473]
1053: gvfsd-trash: 0.0%, 8056832B, disk_io = [291, 320, 77824, 0, 44440, 2560]
1059: gvfsd-metadata: 0.0%, 6213632B, disk_io = [83, 48, 86016, 0, 27291, 400]
1698: kworker/0:0-mm_percpu_wq: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
1998: mousepad: 0.0%, 53018624B, disk_io = [1151, 414, 0, 4096, 1978398, 162105]
2017: qterminal: 0.0%, 83857408B, disk_io = [6911, 8451, 0, 819200, 707435, 657321]
2020: zsh: 0.0%, 6402048B, disk_io = [1204, 145, 0, 0, 1164525, 53652]
2029: qterminal: 0.0%, 83685376B, disk_io = [4979, 49534, 0, 24641536, 2121602, 24338724]
2032: zsh: 0.0%, 6598656B, disk_io = [4388, 752, 49152, 0, 3885691, 222383]
2083: python3: 0.0%, 12394496B, disk_io = [127, 550, 0, 1683456, 661117, 3083467]
2092: sudo: 0.0%, 5320704B, disk_io = [138, 2, 0, 0, 139833, 64]
2093: python3: 0.0%, 13139968B, disk_io = [294179, 173, 0, 0, 49445835, 6286]
2112: kworker/u64:1-ext4-rsv-conversion: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
2206: kworker/u64:2-ext4-rsv-conversion: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
2207: kworker/0:1-ata_sff: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
2254: kworker/u64:0-flush-8:0: 0.0%, 0B, disk_io = [0, 0, 0, 0, 0, 0]
